team__displayName,team__abbrName,team__logoId,team__logo,player__position,player__rosterId,player__fullName,player__yearsPro,player__injuryLength,player__portraitId,player__jerseyNum,gamesPlayed,fantasy_points,rushTotalAtt,rushTotalBrokenTackles,rushTotalFum,rushTotalLongest,rushTotalTDs,rushTotal20PlusYds,rushTotalYdsAfterContact,rushTotalYds,rushAvgYdsAfterContact,rushAvgYdsPerAtt,rushAvgYdsPerGame
49ers,SF,14,,HB,553386121,Duke Goodrich,0,0,3939,14,3,0.00,0,3,0,0,0,0,0,0,0.00,0.00,0.00
49ers,SF,14,,TE,553388782,Hugh McAllister,0,0,3404,87,2,12.10,0,2,0,0,0,0,0,0,0.00,0.00,0.00
49ers,SF,14,,HB,553387292,Jordan James,1,0,10609,29,8,11.60,23,6,0,18,0,0,39,134,4.88,5.83,9.57
49ers,SF,14,,WR,553388059,Ricky Pearsall,2,0,10206,1,1,9.30,1,0,0,0,0,0,0,-3,0.00,-3.00,-0.21
49ers,SF,14,,QB,553388147,Brock Purdy,4,0,1899,13,7,5.90,10,0,0,4,1,0,0,-1,0.00,-0.10,-0.07
49ers,SF,14,,WR,553386014,Brandon Aiyuk,6,0,71,11,2,31.80,2,1,0,8,0,0,0,14,0.00,7.00,1.00
49ers,SF,14,,WR,553387316,Jauan Jennings,6,0,391,15,6,84.10,2,7,0,5,0,0,6,5,1.00,2.50,0.36
49ers,SF,14,,HB,553387697,Christian McCaffrey,9,16,8655,23,14,113.80,195,34,1,64,12,12,274,1069,19.57,5.48,76.36
49ers,SF,14,,TE,553387484,George Kittle,9,0,8622,85,6,98.90,0,6,0,0,0,0,0,0,0.00,0.00,0.00
49ers,SF,14,,FB,553387434,Kyle Juszczyk,13,0,6869,44,5,25.20,6,0,0,5,4,0,6,12,1.20,2.00,0.86
Bears,CHI,0,,FB,553386721,Angelo Morales,0,0,3883,43,6,14.10,6,0,0,11,2,0,6,21,1.00,3.50,1.50
Bears,CHI,0,,TE,553387613,Colston Loveland,1,0,10639,84,7,156.90,0,5,4,0,0,0,0,0,0.00,0.00,0.00
Bears,CHI,0,,HB,553387830,Kyle Monangai,1,0,10666,25,8,34.70,38,5,0,24,5,1,22,140,2.75,3.68,10.00
Bears,CHI,0,,WR,553386352,Luther Burden III,1,0,10510,10,5,57.00,1,5,0,2,1,0,0,2,0.00,2.00,0.14
Bears,CHI,0,,QB,553388871,Caleb Williams,2,0,10296,18,12,3.30,29,1,3,20,0,1,7,93,0.58,3.21,6.64
Bears,CHI,0,,WR,553387964,Rome Odunze,2,0,10199,15,4,84.70,1,3,0,2,0,0,0,2,0.00,2.00,0.14
Bears,CHI,0,,HB,553387357,Roschon Johnson,3,0,2604,23,4,4.70,6,1,0,7,0,0,1,14,0.25,2.33,1.08
Bears,CHI,0,,TE,553387486,Cole Kmet,6,0,711,85,1,1.80,0,1,0,0,0,0,0,0,0.00,0.00,0.00
Bears,CHI,0,,HB,553388560,D'Andre Swift,6,0,599,4,13,74.70,161,24,2,21,5,4,251,726,19.31,4.51,55.85
Bears,CHI,0,,WR,553387844,DJ Moore,8,0,8995,2,7,115.20,2,9,0,3,0,0,0,0,0.00,0.00,0.00
Bengals,CIN,1,,QB,553387777,C.J. Timmerman,0,0,3384,3,7,-0.80,8,0,0,0,0,0,0,-8,0.00,-1.00,-0.78
Bengals,CIN,1,,HB,553386300,Tahj Brooks,1,0,10500,25,1,0.00,0,1,0,0,0,0,0,0,0.00,0.00,0.00
Bengals,CIN,1,,TE,553386955,Cam Grandy,2,0,10902,85,1,6.20,1,0,0,2,1,0,0,2,0.00,2.00,0.14
Bengals,CIN,1,,WR,553386365,Jermaine Burton,2,0,10026,81,1,1.80,0,1,0,0,0,0,0,0,0.00,0.00,0.00
Bengals,CIN,1,,WR,553387243,Andrei Iosivas,3,0,2229,80,8,137.80,3,6,0,7,0,0,1,4,0.13,1.33,0.29
Bengals,CIN,1,,WR,553387384,Charlie Jones,3,0,2246,15,5,-4.00,0,5,2,0,0,0,0,0,0.00,0.00,0.00
Bengals,CIN,1,,HB,553386312,Chase Brown,3,0,1827,30,15,115.00,196,20,0,69,15,10,248,1084,16.53,5.53,73.88
Bengals,CIN,1,,WR,553386439,Ja'Marr Chase,5,0,1370,1,4,88.50,0,7,0,0,0,0,0,0,0.00,0.00,0.00
Bengals,CIN,1,,QB,553386364,Joe Burrow,6,0,198,9,5,39.70,12,2,0,10,0,0,1,37,0.20,3.08,2.61
Bengals,CIN,1,,WR,553387141,Tee Higgins,6,0,351,5,2,35.70,0,3,0,0,0,0,0,0,0.00,0.00,0.00
Bengals,CIN,1,,TE,553386900,Mike Gesicki,8,0,8900,88,8,76.50,2,9,0,3,0,0,1,5,0.13,2.50,0.36
Bengals,CIN,1,,HB,553388076,Samaje Perine,10,0,8685,34,8,13.10,16,3,0,17,1,0,14,71,1.75,4.44,5.07
Bills,BUF,2,,WR,553388832,Cam Johnson,0,0,3371,87,4,-2.00,0,3,1,0,0,0,0,0,0.00,0.00,0.00
Bills,BUF,2,,HB,553388172,D.J. Marrow,0,0,3347,26,14,58.70,137,17,0,80,5,3,227,791,16.21,5.77,52.73
Bills,BUF,2,,TE,553386586,Jeremiah Knox,0,0,3362,82,3,5.70,0,3,0,0,0,0,0,0,0.00,0.00,0.00
Bills,BUF,2,,WR,553386482,Keon Coleman,2,0,10038,0,8,90.90,8,5,0,11,1,0,1,-11,0.13,-1.38,-0.73
Bills,BUF,2,,HB,553386594,Ray Davis,2,0,10051,22,10,3.80,11,1,0,10,0,0,13,37,1.30,3.36,2.64
Bills,BUF,2,,HB,553386505,James Cook III,4,0,1304,4,14,92.00,133,29,5,51,3,4,241,720,17.21,5.41,48.00
Bills,BUF,2,,WR,553388365,Khalil Shakir,4,0,1942,10,1,2.00,0,1,0,0,0,0,0,0,0.00,0.00,0.00
Bills,BUF,2,,WR,553386083,Tutu Atwell,5,0,1315,5,2,37.80,0,2,0,0,0,0,0,0,0.00,0.00,0.00
Bills,BUF,2,,TE,553387492,Dawson Knox,7,0,9546,88,4,81.80,0,5,0,0,0,0,0,0,0.00,0.00,0.00
Bills,BUF,2,,FB,553386214,Khari Blasingame,7,0,100,48,3,3.60,1,2,0,2,0,0,2,2,0.67,2.00,0.14
Bills,BUF,2,,QB,553386033,Josh Allen,8,0,8800,17,12,19.98,18,5,3,34,0,2,17,108,1.42,6.00,7.20
Bills,BUF,2,,WR,553388315,Curtis Samuel,9,0,8716,1,1,4.20,0,1,0,0,0,0,0,0,0.00,0.00,0.00
Broncos,DEN,3,,HB,553387051,Ben Reynolds,0,0,3704,28,13,51.00,45,7,0,18,5,0,73,210,5.62,4.67,16.15
Broncos,DEN,3,,TE,553387294,Sheldon Jowers,0,0,3761,85,2,43.60,0,3,0,0,0,0,0,0,0.00,0.00,0.00
Broncos,DEN,3,,HB,553387072,RJ Harvey,1,0,10579,12,14,136.80,197,39,2,66,11,3,193,1066,13.79,5.41,76.14
Broncos,DEN,3,,HB,553386748,Audric Estime,2,0,10067,37,5,9.50,21,1,0,7,0,0,1,57,0.20,2.71,4.07
Broncos,DEN,3,,QB,553386995,Jake Haener,3,0,2575,4,8,-1.40,14,0,0,0,0,0,0,-14,0.00,-1.00,-1.08
Broncos,DEN,3,,WR,553387811,Marvin Mims Jr,3,0,2312,19,5,79.70,6,2,2,4,1,0,2,-9,0.40,-1.50,-1.00
Broncos,DEN,3,,WR,553388490,Amon-Ra St. Brown,5,0,1313,15,2,47.80,0,2,0,0,0,0,0,0,0.00,0.00,0.00
Broncos,DEN,3,,QB,553387611,Jordan Love,6,0,433,10,13,34.30,28,2,2,21,4,1,13,143,1.00,5.11,10.21
Broncos,DEN,3,,WR,553386436,D.J. Chark Jr,8,0,8843,83,5,47.90,2,4,0,7,0,0,1,5,0.20,2.50,0.36
Broncos,DEN,3,,TE,553386746,Zach Ertz,13,0,5790,87,1,1.80,0,1,0,0,0,0,0,0,0.00,0.00,0.00
Browns,CLE,4,,HB,553387883,Clyde Miller,0,0,3809,33,4,5.20,16,4,0,14,0,0,26,52,6.50,3.25,3.71
Browns,CLE,4,,WR,553388721,Jordan Durham,0,0,10329,18,4,49.80,0,5,0,0,0,0,0,0,0.00,0.00,0.00
Browns,CLE,4,,HB,553386135,Trent Posey,0,0,10354,23,11,22.50,31,3,1,12,1,0,39,112,3.55,3.61,8.00
Browns,CLE,4,,TE,553386772,Harold Fannin Jr.,1,0,10549,44,3,25.30,0,3,0,0,0,0,0,0,0.00,0.00,0.00
Browns,CLE,4,,HB,553387429,Quinshon Judkins,1,0,10618,10,14,127.40,190,34,1,65,11,6,415,1018,29.64,5.36,72.71
Browns,CLE,4,,QB,553388322,Shedeur Sanders,1,0,10718,12,4,-1.50,5,0,1,5,0,0,1,5,0.25,1.00,1.25
Browns,CLE,4,,WR,553386246,Kayshon Boutte,3,0,1640,82,1,3.70,0,1,1,0,0,0,0,0,0.00,0.00,0.00
Browns,CLE,4,,WR,553387319,Jerry Jeudy,6,0,392,3,6,92.60,2,6,0,6,0,0,1,9,0.17,4.50,0.64
Browns,CLE,4,,WR,553387019,KJ Hamler,6,0,739,86,3,-2.00,0,2,1,0,0,0,0,0,0.00,0.00,0.00
Browns,CLE,4,,QB,553387273,Lamar Jackson,8,0,8940,8,11,49.70,39,4,1,40,4,5,61,277,5.55,7.10,21.43
Browns,CLE,4,,WR,553385992,Davante Adams,12,0,6328,17,5,45.30,0,4,1,0,0,0,0,0,0.00,0.00,0.00
Buccaneers,TB,5,,HB,553386377,Denard Simms,0,0,4069,37,11,84.90,114,16,0,43,5,4,121,543,11.00,4.76,41.77
Buccaneers,TB,5,,TE,553388377,Jake Seymour,0,0,3666,82,2,6.40,1,2,0,2,0,0,0,2,0.00,2.00,0.13
Buccaneers,TB,5,,WR,553386688,J.P. Smith,0,0,4064,81,4,24.30,1,4,0,1,0,0,0,1,0.00,1.00,0.07
Buccaneers,TB,5,,QB,553388941,Zach Reese,0,0,3403,9,13,35.14,28,5,2,22,1,1,37,160,2.85,5.71,10.67
Buccaneers,TB,5,,WR,553386714,Emeka Egbuka,1,0,10542,2,3,93.20,0,3,0,0,0,0,0,0,0.00,0.00,0.00
Buccaneers,TB,5,,WR,553388982,Isaiah Bond,1,0,10494,16,2,11.50,0,2,0,0,0,0,0,0,0.00,0.00,0.00
Buccaneers,TB,5,,HB,553386604,Josh Williams,1,0,0,18,6,17.30,22,4,0,8,2,0,8,69,1.33,3.14,4.60
Buccaneers,TB,5,,HB,553387244,Bucky Irving,2,5,10113,7,11,57.70,67,7,0,15,3,0,19,242,1.73,3.61,17.29
Buccaneers,TB,5,,WR,553387758,Jalen McMillan,2,0,10176,11,5,23.60,4,1,1,4,0,0,0,5,0.00,1.25,0.33
Buccaneers,TB,5,,TE,553388017,Cade Otton,4,0,1872,88,2,28.90,0,2,0,0,0,0,0,0,0.00,0.00,0.00
Buccaneers,TB,5,,QB,553387689,Baker Mayfield,8,0,8982,6,1,2.70,2,0,0,25,0,1,2,27,2.00,13.50,13.50
Cardinals,ARI,6,,HB,553386146,Clyde Stackhouse,0,0,3402,38,13,69.40,119,28,0,78,1,2,177,558,13.62,4.69,42.92
Cardinals,ARI,6,,WR,553387062,Marvin Harrison Jr,2,0,10102,18,2,21.40,0,2,0,0,0,0,0,0,0.00,0.00,0.00
Cardinals,ARI,6,,TE,553388196,Tip Reiman,2,0,10225,87,1,0.50,1,0,0,5,0,0,3,5,3.00,5.00,0.36
Cardinals,ARI,6,,TE,553387696,Trey McBride,4,0,1830,85,3,25.50,0,2,1,0,0,0,0,0,0.00,0.00,0.00
Cardinals,ARI,6,,QB,553387895,Kyler Murray,7,0,9583,1,9,10.10,23,2,5,18,0,0,22,201,2.44,8.74,20.10
Cardinals,ARI,6,,WR,553386658,Greg Dortch,8,0,9442,4,5,4.00,0,6,1,0,1,0,0,0,0.00,0.00,0.00
Cardinals,ARI,6,,QB,553386567,Sam Darnold,8,0,8861,11,4,4.40,8,0,0,13,0,0,6,44,1.50,5.50,6.29
Cardinals,ARI,6,,HB,553386498,James Conner,9,0,8515,6,11,15.80,53,5,2,23,2,1,29,225,2.64,4.25,16.07
Cardinals,ARI,6,,WR,553387153,Tyreek Hill,10,0,8052,82,3,31.30,0,3,0,0,0,0,0,0,0.00,0.00,0.00
Chargers,LAC,7,,WR,553386967,Phillip Crayton,0,0,3765,17,1,12.20,1,0,0,6,0,0,0,6,0.00,6.00,0.46
Chargers,LAC,7,,WR,553387520,KeAndre Lambert-Smith,1,0,10631,84,1,0.00,0,1,0,0,0,0,0,0,0.00,0.00,0.00
Chargers,LAC,7,,HB,553387024,Omarion Hampton,1,0,10572,8,14,102.30,182,41,3,99,7,10,336,979,24.00,5.38,69.93
Chargers,LAC,7,,TE,553386871,Oronde Gadsden II,1,0,10558,86,4,71.50,0,6,0,0,0,0,0,0,0.00,0.00,0.00
Chargers,LAC,7,,WR,553387060,Tre Harris,1,0,10578,9,5,81.80,0,5,0,0,0,0,0,0,0.00,0.00,0.00
Chargers,LAC,7,,WR,553387710,Ladd McConkey,2,0,10169,15,5,70.40,4,3,1,6,0,0,1,7,0.20,1.75,0.50
Chargers,LAC,7,,WR,553386582,Derius Davis,3,0,3053,12,1,0.00,0,1,0,0,0,0,0,0,0.00,0.00,0.00
Chargers,LAC,7,,FB,553387676,Scott Matlock,3,0,4689,44,4,9.50,3,0,1,5,1,0,3,9,0.75,3.00,0.64
Chargers,LAC,7,,HB,553387057,Najee Harris,5,0,1308,22,7,19.10,22,3,0,43,1,1,49,117,7.00,5.32,8.36
Chargers,LAC,7,,HB,553388502,Rhamondre Stevenson,5,0,1146,38,1,1.60,3,1,0,8,0,0,2,16,2.00,5.33,1.23
Chargers,LAC,7,,QB,553387119,Justin Herbert,6,0,346,10,9,5.90,25,2,1,8,0,0,2,79,0.22,3.16,5.64
Chargers,LAC,7,,WR,553387548,Allen Lazard,8,0,8969,13,3,27.50,0,3,0,0,0,0,0,0,0.00,0.00,0.00
Chargers,LAC,7,,TE,553386649,Will Dissly,8,0,8871,89,1,7.00,0,1,0,0,0,0,0,0,0.00,0.00,0.00
Chiefs,KC,8,,WR,553387089,Eric Humphries,0,0,3380,85,1,4.60,0,1,0,0,0,0,0,0,0.00,0.00,0.00
Chiefs,KC,8,,HB,553388431,Brashard Smith,1,7,10735,24,6,17.50,23,1,0,26,1,3,27,104,4.50,4.52,8.00
Chiefs,KC,8,,WR,553388289,Jalen Royals,1,0,10714,11,1,0.00,0,1,0,0,0,0,0,0,0.00,0.00,0.00
Chiefs,KC,8,,WR,553388975,Xavier Worthy,2,0,10305,1,3,21.70,0,4,0,0,0,0,0,0,0.00,0.00,0.00
Chiefs,KC,8,,HB,553388739,Deuce Vaughn,3,0,2443,33,1,4.10,8,0,0,8,0,0,5,7,5.00,0.88,0.50
Chiefs,KC,8,,WR,553388197,Nikko Remigio,3,0,10955,81,1,0.00,0,1,0,0,0,0,0,0,0.00,0.00,0.00
Chiefs,KC,8,,WR,553388213,Rashee Rice,3,0,2366,4,4,79.10,0,6,0,0,0,0,0,0,0.00,0.00,0.00
Chiefs,KC,8,,HB,553388027,Isiah Pacheco,4,0,1875,10,15,143.80,228,41,4,83,12,8,392,1262,26.13,5.54,85.74
Chiefs,KC,8,,HB,553386434,Ty Chandler,4,0,1267,37,1,0.30,2,0,0,4,0,0,2,3,2.00,1.50,1.50
Chiefs,KC,8,,TE,553386965,Noah Gray,5,0,1085,83,1,3.60,0,1,0,0,0,0,0,0,0.00,0.00,0.00
Chiefs,KC,8,,QB,553387644,Patrick Mahomes,9,0,8648,15,4,-4.40,4,1,2,0,0,0,0,-4,0.00,-1.00,-0.29
Chiefs,KC,8,,TE,553387450,Travis Kelce,13,0,5920,87,4,84.20,0,8,0,0,0,0,0,0,0.00,0.00,0.00
Colts,IND,9,,TE,553386092,Elijah Clinton,0,0,3384,81,3,1.20,3,0,0,7,0,0,5,12,1.67,4.00,0.86
Colts,IND,9,,WR,553387028,Manuel Ruiz,0,0,3939,9,2,0.00,0,7,0,0,0,0,0,0,0.00,0.00,0.00
Colts,IND,9,,HB,553386905,DJ Giddens,1,0,10560,21,6,9.10,23,1,0,83,1,1,33,148,5.50,6.43,10.57
Colts,IND,9,,TE,553388797,Tyler Warren,1,0,10769,84,4,41.40,0,6,0,0,0,0,0,0,0.00,0.00,0.00
Colts,IND,9,,WR,553387818,Adonai Mitchell,2,0,10183,10,1,0.00,0,1,0,0,0,0,0,0,0.00,0.00,0.00
Colts,IND,9,,QB,553388215,Anthony Richardson Sr,3,0,2609,5,14,55.70,44,2,3,75,6,4,44,257,3.14,5.84,18.36
Colts,IND,9,,HB,553385984,Israel Abanikanda,3,0,361,36,1,0.30,1,0,0,3,0,0,1,3,1.00,3.00,0.23
Colts,IND,9,,WR,553386669,Josh Downs,3,0,2117,1,2,5.40,0,2,0,0,0,0,0,0,0.00,0.00,0.00
Colts,IND,9,,HB,553388580,Jonathan Taylor,6,0,604,28,13,116.00,173,32,4,31,8,4,284,741,21.85,4.28,57.00
Colts,IND,9,,WR,553388110,Michael Pittman Jr,6,0,532,11,3,28.90,0,3,0,0,0,0,0,0,0.00,0.00,0.00
Commanders,WAS,25,,HB,553387668,Nate Poole,0,0,3939,37,3,0.90,9,3,0,6,0,0,8,9,2.67,1.00,1.13
Commanders,WAS,25,,HB,553386537,Jacory Croskey-Merritt,1,0,11008,22,15,85.40,180,29,0,61,12,4,173,846,11.53,4.70,56.40
Commanders,WAS,25,,WR,553387531,Jaylin Lane,1,0,10633,83,12,89.10,13,4,1,26,1,1,9,88,0.75,6.77,5.87
Commanders,WAS,25,,TE,553388406,Ben Sinnott,2,0,10247,82,7,62.70,15,6,0,7,2,0,0,56,0.00,3.73,4.31
Commanders,WAS,25,,QB,553386563,Jayden Daniels,2,0,10048,5,15,63.36,65,4,1,18,5,0,46,249,3.07,3.83,16.60
Commanders,WAS,25,,HB,553388267,Chris Rodriguez Jr,3,0,4910,36,7,28.40,21,3,0,19,1,0,16,69,2.29,3.29,4.93
Commanders,WAS,25,,TE,553388679,Adam Trautman,6,0,622,86,1,0.10,2,0,0,4,0,0,0,1,0.00,0.50,0.08
Commanders,WAS,25,,WR,553387750,Terry McLaurin,7,0,9567,17,3,29.80,3,1,0,16,0,0,2,15,0.67,5.00,1.00
Commanders,WAS,25,,TE,553386063,Mark Andrews,8,0,8802,80,4,60.20,0,6,0,0,0,0,0,0,0.00,0.00,0.00
Commanders,WAS,25,,TE,553386025,Mo Alie-Cox,9,0,9697,88,1,11.70,0,1,0,0,0,0,0,0,0.00,0.00,0.00
Commanders,WAS,25,,WR,553386321,Noah Brown,9,0,8492,85,3,23.70,0,3,1,0,0,0,0,0,0.00,0.00,0.00
Commanders,WAS,25,,QB,553387653,Marcus Mariota,11,0,6979,8,1,-0.10,1,0,0,0,0,0,0,-1,0.00,-1.00,-0.14
Cowboys,DAL,10,,HB,553388521,Cameron Yancey,0,0,3842,24,14,96.00,247,40,3,70,20,11,378,1511,27.00,6.12,107.93
Cowboys,DAL,10,,WR,553389108,Dennis Burnett,0,0,4067,82,7,57.30,5,5,0,3,0,0,2,3,0.29,0.60,0.21
